percent_of_ami,household_size,income
50,1,56450
50,2,64500
50,3,72550
50,4,80600
50,5,87050
50,6,93500
50,7,99950
50,8,106400
60,1,71170
60,2,81340
60,3,91502
60,4,101630
60,5,109833
60,6,117924
60,7,126059
60,8,134219
